DC2107EW - Religion by sex by age,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 April 2018],,,,,,,,,,
,,,,,,,,,,
population,All usual residents,,,,,,,,,
units,Persons,,,,,,,,,
date,2011,,,,,,,,,
sex,All persons,,,,,,,,,
religion,All categories: Religion,,,,,,,,,
,,,,,,,,,,
Age,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales
All categories: Age,"2,596,886","7,052,177","5,283,733","4,533,222","5,601,847","5,846,965","8,173,941","8,634,750","5,288,935","3,063,456"
Age 0 to 4,"149,843","432,091","328,447","270,174","354,801","361,269","591,495","534,235","296,094","178,301"
Age 5 to 7,"83,689","241,108","182,818","151,534","200,808","201,093","301,095","299,327","166,138","99,429"
Age 8 to 9,"52,610","151,058","114,657","96,030","126,252","127,419","181,714","188,731","106,551","63,650"
Age 10 to 14,"145,045","412,407","306,096","264,538","340,758","345,453","456,865","512,875","296,892","177,748"
Age 15,"31,250","87,884","65,774","56,179","71,823","73,398","93,599","106,916","64,003","37,168"
Age 16 to 17,"63,605","177,491","130,943","114,815","146,021","148,076","186,626","217,612","128,935","77,111"
Age 18 to 19,"74,585","191,462","151,928","124,920","151,468","137,223","191,434","217,156","135,139","84,841"
Age 20 to 24,"184,018","489,640","382,679","307,676","380,909","352,974","629,972","534,287","333,166","211,924"
Age 25 to 29,"164,303","466,582","347,304","278,581","363,286","362,643","832,966","528,057","307,159","185,728"
Age 30 to 34,"151,152","429,685","321,328","267,803","343,295","363,808","796,888","538,471","296,791","174,694"
Age 35 to 39,"157,149","450,049","337,891","291,852","360,103","387,651","664,046","578,011","322,364","183,045"
Age 40 to 44,"183,232","514,802","382,902","335,883","406,247","432,514","610,020","644,796","375,538","213,155"
Age 45 to 49,"196,020","522,351","381,984","340,232","404,030","435,701","556,656","653,258","389,583","220,711"
Age 50 to 54,"181,379","465,140","343,804","298,725","351,121","380,369","461,290","567,834","350,433","201,599"
Age 55 to 59,"160,945","409,628","305,278","269,931","319,685","340,626","371,936","495,765","323,198","186,923"
Age 60 to 64,"168,576","439,644","325,329","291,401","335,265","372,566","342,590","535,399","361,507","204,885"
Age 65 to 69,"128,511","342,240","252,608","232,160","279,804","294,329","256,772","424,290","297,440","166,007"
Age 70 to 74,"110,731","285,502","211,241","182,553","225,885","237,064","216,286","339,405","235,462","134,543"
Age 75 to 79,"89,861","227,350","170,823","146,526","181,119","198,778","176,831","282,391","195,666","108,202"
Age 80 to 84,"65,002","167,246","125,598","110,043","135,875","151,359","131,830","218,727","153,093","79,232"
Age 85 and over,"55,380","148,817","114,301","101,666","123,292","142,652","123,030","217,207","153,783","74,560"
,,,,,,,,,,
"In order to protect against disclosure of personal information, records have been swapped between different geographic areas. Some counts will be affected, particularly small counts at the lowest geographies.",,,,,,,,,,
"The voluntary question on religion in the 2011 Census was intended to capture people's religious affiliation and identification at the time of the Census irrespective of whether they practised or believed in that religion or how important it was in their lives. If a person had no religion then the first of a series of tick boxes could be selected. Care should be taken when using these data not to infer, or allow the inference by others, that the practice of a religion or specific religious activities that are expected of believers has been measured. Unlike other census questions where missing answers are imputed, this question was voluntary, and where no answer was provided the response is categorised as 'not stated'.",,,,,,,,,,
"Due to an error in the processing of census data, the number of usual residents in the 'Religion not stated' category has been overestimated by a total of 62,000 for three local authorities: Camden, Islington and Tower Hamlets. More information from http://www.ons.gov.uk/ons/guide-method/census/2011/census-data/census-products--issues-and-corrections/index.html.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DC2107EW - Religion by sex by age,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 April 2018],,,,,,,,,,
,,,,,,,,,,
population,All usual residents,,,,,,,,,
units,Persons,,,,,,,,,
date,2011,,,,,,,,,
sex,All persons,,,,,,,,,
religion,Christian,,,,,,,,,
,,,,,,,,,,
Age,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales
All categories: Age,"1,753,334","4,742,860","3,143,819","2,666,172","3,373,450","3,488,063","3,957,984","5,160,128","3,194,066","1,763,299"
Age 0 to 4,"74,438","225,324","133,146","109,839","148,489","155,995","240,179","240,356","128,938","69,879"
