ST103 - Sex and age by religion,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 April 2018],,,,,,,,,,
Population :,All people,,,,,,,,,
Units      :,Persons,,,,,,,,,
Date       :,2001,,,,,,,,,
Sex        :,All persons,,,,,,,,,
Age        :,All categories: Age,,,,,,,,,
,,,,,,,,,,
Area,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
,,,,,,,,,,
country:England and Wales,52041916,37338486,144453,552421,259927,1546626,329358,150720,7709267,4010658
gor:North East,2515442,2014608,3097,4370,3151,26925,4780,3886,276196,178429
gor:North West,6729764,5249686,11794,27211,27974,204261,6487,10625,705045,486681
gor:Yorkshire and The Humber,4964833,3627774,7188,15797,11554,189089,18711,9624,699327,385769
gor:East Midlands,4172174,3003475,7541,66710,4075,70224,33551,9863,664845,311890
gor:West Midlands,5267308,3823235,9760,56668,4977,216184,103870,10895,647718,394001
gor:East,5388140,3886778,12065,31386,30367,78931,13365,15471,902145,417632
gor:London,7172091,4176175,54297,291977,149789,607083,104230,36558,1130616,621366
gor:South East,8000645,5823025,22005,44575,19037,108725,37735,28668,1319979,596896
gor:South West,4928434,3646488,11299,8288,6747,23465,4614,18221,825461,383851
gor:Wales,2903085,2087242,5407,5439,2256,21739,2015,6909,537935,234143
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Cells in this dataset have been randomly adjusted to avoid the release,,,,,,,,,
,of confidential data.,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ST103 - Sex and age by religion,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 April 2018],,,,,,,,,,
Population :,All people,,,,,,,,,
Units      :,Persons,,,,,,,,,
Date       :,2001,,,,,,,,,
Sex        :,All persons,,,,,,,,,
Age        :,Age 0 to 15,,,,,,,,,
,,,,,,,,,,
Area,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
,,,,,,,,,,
country:England and Wales,10488736,6824189,17286,115808,44577,522860,80755,13821,1828990,1040450
gor:North East,497321,365613,258,819,772,9213,1268,287,69811,49280
gor:North West,1392209,1006141,1307,5281,5759,73085,1715,799,163755,134367
gor:Yorkshire and The Humber,1015548,657312,657,2970,1531,68381,4496,639,174832,104730
gor:East Midlands,836823,536400,836,15043,514,23426,8455,853,172335,78961
gor:West Midlands,1095894,702886,1251,12844,548,78672,25781,974,167945,104993
gor:East,1082761,709548,1203,6729,5838,25975,3088,1313,227292,101775
gor:London,1448236,751913,7899,60136,26135,196201,24775,4603,215795,160779
gor:South East,1594219,1086352,2324,9342,2502,33637,9398,2419,303993,144252
gor:South West,938570,639372,1049,1599,717,6744,1196,1399,194557,91937
gor:Wales,587155,368652,502,1045,261,7526,583,535,138675,69376
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Cells in this dataset have been randomly adjusted to avoid the release,,,,,,,,,
,of confidential data.,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ST103 - Sex and age by religion,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 April 2018],,,,,,,,,,
Population :,All people,,,,,,,,,
Units      :,Persons,,,,,,,,,
Date       :,2001,,,,,,,,,
Sex        :,All persons,,,,,,,,,
Age        :,Age 16 to 24,,,,,,,,,
,,,,,,,,,,
Area,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
,,,,,,,,,,
country:England and Wales,5677802,3463825,19491,83620,25489,281628,55113,17408,1292938,438290
gor:North East,279869,201828,482,676,722,4622,817,486,50150,20086
gor:North West,733919,510776,1601,4537,3015,38323,1452,1368,120621,52226
gor:Yorkshire and The Humber,558816,342366,1209,3128,1604,37281,3436,1276,125367,43149
gor:East Midlands,451943,271361,1297,9565,572,12541,5632,1184,115514,34277
gor:West Midlands,578793,351503,1475,8729,994,42440,16918,1385,110861,44488
gor:East,549860,335176,1533,4461,2681,14450,2284,1605,144687,42983
gor:London,864951,427979,6766,43799,13063,103578,17530,4152,175982,72102
gor:South East,846539,518233,3071,6363,1917,20409,5840,3348,222199,65159
gor:South West,496866,308658,1416,1408,723,4198,824,1741,138979,38919
gor:Wales,316246,195945,641,954,198,3786,380,863,88578,24901
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Cells in this dataset have been randomly adjusted to avoid the release,,,,,,,,,
,of confidential data.,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ST103 - Sex and age by religion,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 April 2018],,,,,,,,,,
Population :,All people,,,,,,,,,
Units      :,Persons,,,,,,,,,
Date       :,2001,,,,,,,,,
Sex        :,All persons,,,,,,,,,
Age        :,Age 25 to 49,,,,,,,,,
,,,,,,,,,,
Area,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
,,,,,,,,,,
country:England and Wales,18464534,12619115,75177,238774,82385,567182,134397,75694,3418729,1253081
gor:North East,871878,684256,1649,1911,629,10513,1987,1915,116833,52185
gor:North West,2330375,1776349,6137,11181,7828,71613,2416,5451,306202,143198
gor:Yorkshire and The Humber,1717637,1212805,3800,6572,3002,63928,7395,5018,299419,115698
gor:East Midlands,1456053,996253,3793,27270,1329,26525,13473,4965,286217,96228
gor:West Midlands,1812173,1273547,4824,23272,1352,71861,41792,5484,273247,116794
gor:East,1894478,1295543,6316,13945,10784,29629,5507,7620,394542,130592
gor:London,2950613,1640082,28447,127828,48720,233369,43361,18480,583804,226522
gor:South East,2826794,1944626,11644,20620,6186,41909,15881,14293,582497,189138
gor:South West,1647735,1147308,5909,3828,1895,9911,1847,9111,351306,116620
gor:Wales,956798,648346,2658,2347,660,7924,738,3357,224662,66106
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Cells in this dataset have been randomly adjusted to avoid the release,,,,,,,,,
,of confidential data.,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ST103 - Sex and age by religion,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 April 2018],,,,,,,,,,
Population :,All people,,,,,,,,,
Units      :,Persons,,,,,,,,,
Date       :,2001,,,,,,,,,
Sex        :,All persons,,,,,,,,,
Age        :,Age 50 to 59,,,,,,,,,
,,,,,,,,,,
Area,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
,,,,,,,,,,
country:England and Wales,6553316,5217434,20264,56787,36617,81944,28259,23665,652811,435535
gor:North East,318730,275617,458,529,319,1158,353,589,22077,17630
gor:North West,854455,718284,1692,3185,3788,9675,450,1649,64514,51218
gor:Yorkshire and The Humber,626281,513542,1030,1719,1767,8115,1686,1494,56678,40250
gor:East Midlands,549328,444375,994,7172,674,3734,2913,1597,52418,35451
gor:West Midlands,673167,548976,1305,5845,709,9384,9166,1621,53908,42253
gor:East,707870,562710,1965,3512,4548,4394,1222,2682,76680,50157
gor:London,733845,487161,6730,28945,20092,36375,8567,4677,85245,56053
gor:South East,1038469,823225,3167,4472,3194,6562,3368,4873,118815,70793
gor:South West,665983,533523,1913,783,1135,1383,369,3353,76526,46998
gor:Wales,385188,310021,1010,625,391,1164,165,1130,45950,24732
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Cells in this dataset have been randomly adjusted to avoid the release,,,,,,,,,
,of confidential data.,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ST103 - Sex and age by religion,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 April 2018],,,,,,,,,,
Population :,All people,,,,,,,,,
Units      :,Persons,,,,,,,,,
Date       :,2001,,,,,,,,,
Sex        :,All persons,,,,,,,,,
Age        :,Age 60 to 64,,,,,,,,,
,,,,,,,,,,
Area,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
,,,,,,,,,,
country:England and Wales,2544754,2121798,4584,20956,13004,36510,10566,6289,163758,167289
gor:North East,131332,117093,109,171,119,524,127,188,5602,7399
gor:North West,342726,297302,408,1161,1361,4586,135,420,16314,21039
gor:Yorkshire and The Humber,247900,211790,174,529,618,4030,556,392,13765,16046
gor:East Midlands,207432,175562,217,2746,233,1525,1084,417,12637,13011
gor:West Midlands,266862,225111,306,2149,287,4608,3375,457,13627,16942
gor:East,266555,223296,401,1086,1613,1885,439,711,18778,18346
gor:London,282856,198053,1691,11192,7199,15722,3448,1401,21712,22438
gor:South East,386002,323525,704,1457,1041,2535,1247,1158,29136,25199
gor:South West,260165,221026,353,249,391,544,112,828,19634,17028
gor:Wales,152924,129040,221,216,142,551,43,317,12553,9841
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Cells in this dataset have been randomly adjusted to avoid the release,,,,,,,,,
,of confidential data.,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ST103 - Sex and age by religion,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 April 2018],,,,,,,,,,
Population :,All people,,,,,,,,,
Units      :,Persons,,,,,,,,,
Date       :,2001,,,,,,,,,
Sex        :,All persons,,,,,,,,,
Age        :,Age 65 to 74,,,,,,,,,
,,,,,,,,,,
Area,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
,,,,,,,,,,
country:England and Wales,4367032,3726398,5092,25779,25375,42850,13506,8789,212641,306602
gor:North East,229545,205461,98,205,247,690,154,271,7473,14946
gor:North West,578194,507725,437,1333,2690,5311,224,590,20938,38946
gor:Yorkshire and The Humber,423697,367143,217,638,1279,5628,767,513,17809,29703
gor:East Midlands,355996,308048,268,3284,371,1815,1329,527,15747,24607
gor:West Midlands,449789,385917,381,2626,484,6717,4457,627,17193,31387
gor:East,465341,399555,431,1170,2564,2049,556,991,24493,33532
gor:London,468067,346203,1886,14356,14780,16757,4416,2093,28476,39100
gor:South East,668503,576454,723,1687,1873,2800,1389,1571,37501,44505
gor:South West,463709,402796,418,299,808,509,155,1152,26219,31353
gor:Wales,264191,227096,233,181,279,574,59,454,16792,18523
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Cells in this dataset have been randomly adjusted to avoid the release,,,,,,,,,
